"Ordem";"Area";"IA";"Andar";"Suites";"Vista";"DistBM";"Semruido";"AV100m";"Valor_Predito"
"1";"168";"2";"9";"0";"0";"150";"0";"1";"114846,801763493"
"2";"130";"4";"6";"1";"1";"2000";"1";"1";"199739,627508836"
"3";"218";"1";"8";"4";"0";"251";"0";"1";"303877,397415251"
"4";"180";"2";"4";"0";"0";"245";"0";"0";"125969,948231537"
"5";"120";"4";"3";"0";"1";"956";"1";"0";"135011,180269601"
"6";"160";"2";"2";"1";"0";"85";"0";"0";"144053,618855720"
"7";"155";"5";"3";"0";"1";"1600";"0";"1";"161370,661698010"
"8";"165";"1";"2";"1";"0";"148";"1";"0";"162378,818491174"
"9";"150";"10";"4";"1";"1";"143";"1";"1";"168130,866028212"
